suggestionRunID,pastPeriodStart,pastPeriodEnd,suggestionPeriodStart,suggestionPeriodEnd,minOrders,Item,SiteName,ChannelName,CustomerSegment,UnitsLastPeriod,avgSaleUnitPrice,avgCostUnitPrice,Orders,RevenueLastPeriod,MarginLastPeriod,Elasticity,marginOptimalPrice,marginOptimalPriceRounded,percentChange,forecastedDemandAtOptimum,forecastedDemandAtRounded,forecastedRevenueAtRounded,forecastedMarginAtRounded,incrementalMargin
M2017-05-31,5/24/2017,5/31/2017,6/1/2017,6/7/2017,0,dominicks,100,Retail,all,117120,1.29,1.5,1,151084.8,-24247.35,-4.25,1.96,1.99,54,19795,18557,36929,9148.13,33395.48
M2017-05-31,5/24/2017,5/31/2017,6/1/2017,6/7/2017,0,dominicks,101,Retail,all,49088,1.29,1.32,1,63323.52,-1292.49,-4.45,1.7,1.69,31,14375,14757,24940,5514.32,6806.81
M2017-05-31,5/24/2017,5/31/2017,6/1/2017,6/7/2017,0,dominicks,102,Retail,all,129856,1.29,1.27,1,167514.24,2356.89,-4.38,1.65,1.69,31,44184,39783,67234,16635.4,14278.52
M2017-05-31,5/24/2017,5/31/2017,6/1/2017,6/7/2017,0,dominicks,103,Retail,all,71744,1.29,1.27,1,92549.76,1102.71,-4.34,1.66,1.69,31,24015,22219,37549,9228.94,8126.23
M2017-05-31,5/24/2017,5/31/2017,6/1/2017,6/7/2017,0,dominicks,104,Retail,all,36352,1.58,1.28,1,57436.16,10999.75,-4.48,1.64,1.69,7,30762,26889,45443,11094.26,94.51
M2017-05-31,5/24/2017,5/31/2017,6/1/2017,6/7/2017,0,dominicks,105,Retail,all,92800,1.29,1.52,1,119712,-21534.24,-4.32,1.98,1.99,54,14578,14264,28386,6674.98,28209.22
M2017-05-31,5/24/2017,5/31/2017,6/1/2017,6/7/2017,0,dominicks,106,Retail,all,38464,1.58,1.34,1,60773.12,9393.29,-5.03,1.67,1.69,7,29110,27418,46336,9711.59,318.3
M2017-05-31,5/24/2017,5/31/2017,6/1/2017,6/7/2017,0,dominicks,107,Retail,all,51392,1.58,1.37,1,81199.36,10550.26,-4.37,1.78,1.79,13,30528,29789,53323,12371.17,1820.9
M2017-05-31,5/24/2017,5/31/2017,6/1/2017,6/7/2017,0,dominicks,109,Retail,all,55488,1.58,1.41,1,87671.04,9231.54,-4.44,1.82,1.79,13,29616,31884,57072,12000.08,2768.54
M2017-05-31,5/24/2017,5/31/2017,6/1/2017,6/7/2017,0,dominicks,110,Retail,all,36160,1.58,1.52,1,57132.8,2095.47,-4.48,1.96,1.99,26,13769,12863,25598,6019.35,3923.88
M2017-05-31,5/24/2017,5/31/2017,6/1/2017,6/7/2017,0,dominicks,111,Retail,all,248000,1.29,1.32,1,319920,-7219.28,-4.32,1.72,1.69,31,71568,77220,130501,28640.05,35859.33
M2017-05-31,5/24/2017,5/31/2017,6/1/2017,6/7/2017,0,dominicks,112,Retail,all,48576,1.29,1.32,1,62663.04,-1549.09,-4.36,1.72,1.69,31,13858,14963,25287,5507.88,7056.97
